,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
11313,,mnist,0.005,N26,MNIST_P26_N26,unsat,10.7831,2513.0,marabou,MNIST_P26_N26 N26 0.005,True,1,1
1520,,mnist,0.002,N26,MNIST_P76_N26,unsat,10.4974,1520.0,marabou,MNIST_P76_N26 N26 0.002,True,1,1
11004,,mnist,0.008,N17,MNIST_P70_N17,unsat,54.1244,2204.0,marabou,MNIST_P70_N17 N17 0.008,True,1,1
8590,,mnist,0.004,N26,MNIST_P70_N26,unsat,10.2681,4190.0,marabou,MNIST_P70_N26 N26 0.004,True,1,1
11072,,mnist,0.008,N26,MNIST_P41_N26,unsat,10.6524,2272.0,marabou,MNIST_P41_N26 N26 0.008,True,1,1
8599,,mnist,0.004,N17,MNIST_P91_N17,unsat,54.2146,4199.0,marabou,MNIST_P91_N17 N17 0.004,True,1,1
8604,,mnist,0.004,N17,MNIST_P7_N17,unsat,54.6992,4204.0,marabou,MNIST_P7_N17 N17 0.004,True,1,1
1522,,mnist,0.002,N26,MNIST_P84_N26,unsat,10.7232,1522.0,marabou,MNIST_P84_N26 N26 0.002,True,1,1
8635,,mnist,0.004,N17,MNIST_P1_N17,unsat,55.4076,4235.0,marabou,MNIST_P1_N17 N17 0.004,True,1,1
11122,,mnist,0.008,N17,MNIST_P47_N17,unsat,54.3706,2322.0,marabou,MNIST_P47_N17 N17 0.008,True,1,1
2577,,mnist,0.002,N17,MNIST_P67_N17,unsat,52.3615,2577.0,marabou,MNIST_P67_N17 N17 0.002,True,1,1
2570,,mnist,0.002,N3,MNIST_P69_N3,unsat,45.4241,2570.0,marabou,MNIST_P69_N3 N3 0.002,True,1,1
8523,,mnist,0.004,N26,MNIST_P88_N26,unsat,10.7241,4123.0,marabou,MNIST_P88_N26 N26 0.004,True,1,1
1442,,mnist,0.002,N26,MNIST_P88_N26,unsat,10.5917,1442.0,marabou,MNIST_P88_N26 N26 0.002,True,1,1
2670,,mnist,0.002,N26,MNIST_P45_N26,unsat,10.6549,2670.0,marabou,MNIST_P45_N26 N26 0.002,True,1,1
8473,,mnist,0.004,N17,MNIST_P94_N17,unsat,53.9943,4073.0,marabou,MNIST_P94_N17 N17 0.004,True,1,1
2655,,mnist,0.002,N17,MNIST_P86_N17,unsat,52.9306,2655.0,marabou,MNIST_P86_N17 N17 0.002,True,1,1
1327,,mnist,0.002,N17,MNIST_P29_N17,unsat,53.5681,1327.0,marabou,MNIST_P29_N17 N17 0.002,True,1,1
1328,,mnist,0.002,N26,MNIST_P47_N26,unsat,10.3403,1328.0,marabou,MNIST_P47_N26 N26 0.002,True,1,1
1330,,mnist,0.002,N17,MNIST_P23_N17,unsat,52.9837,1330.0,marabou,MNIST_P23_N17 N17 0.002,True,1,1
1333,,mnist,0.002,N26,MNIST_P74_N26,unsat,10.8746,1333.0,marabou,MNIST_P74_N26 N26 0.002,True,1,1
8376,,mnist,0.004,N17,MNIST_P17_N17,unsat,54.5364,3976.0,marabou,MNIST_P17_N17 N17 0.004,True,1,1
11264,,mnist,0.005,N17,MNIST_P96_N17,unsat,53.7796,2464.0,marabou,MNIST_P96_N17 N17 0.005,True,1,1
1387,,mnist,0.002,N26,MNIST_P94_N26,unsat,10.8771,1387.0,marabou,MNIST_P94_N26 N26 0.002,True,1,1
8397,,mnist,0.004,N17,MNIST_P20_N17,unsat,54.0862,3997.0,marabou,MNIST_P20_N17 N17 0.004,True,1,1
1394,,mnist,0.002,N17,MNIST_P50_N17,unsat,53.8265,1394.0,marabou,MNIST_P50_N17 N17 0.002,True,1,1
2621,,mnist,0.002,N26,MNIST_P75_N26,unsat,10.8271,2621.0,marabou,MNIST_P75_N26 N26 0.002,True,1,1
10777,,mnist,0.008,N17,MNIST_P28_N17,unsat,54.3069,1977.0,marabou,MNIST_P28_N17 N17 0.008,True,1,1
10784,,mnist,0.008,N17,MNIST_P3_N17,unsat,53.769,1984.0,marabou,MNIST_P3_N17 N17 0.008,True,1,1
8434,,mnist,0.004,N17,MNIST_P56_N17,unsat,54.3952,4034.0,marabou,MNIST_P56_N17 N17 0.004,True,1,1
11306,,mnist,0.005,N17,MNIST_P89_N17,unsat,54.74,2506.0,marabou,MNIST_P89_N17 N17 0.005,True,1,1
8437,,mnist,0.004,N17,MNIST_P54_N17,unsat,54.5612,4037.0,marabou,MNIST_P54_N17 N17 0.004,True,1,1
2619,,mnist,0.002,N17,MNIST_P4_N17,unsat,54.2129,2619.0,marabou,MNIST_P4_N17 N17 0.002,True,1,1
174,,mnist,0.002,N17,MNIST_P35_N17,unsat,55.39,174.0,marabou,MNIST_P35_N17 N17 0.002,True,1,1
215,,mnist,0.002,N3,MNIST_P10_N3,unsat,48.4106,215.0,marabou,MNIST_P10_N3 N3 0.002,True,1,1
167,,mnist,0.002,N17,MNIST_P81_N17,unsat,59.1978,167.0,marabou,MNIST_P81_N17 N17 0.002,True,1,1
4784,,mnist,0.004,N17,MNIST_P31_N17,unsat,56.0718,384.0,marabou,MNIST_P31_N17 N17 0.004,True,1,1
9431,,mnist,0.005,N17,MNIST_P2_N17,unsat,55.4565,631.0,marabou,MNIST_P2_N17 N17 0.005,True,1,1
4021,,mnist,0.002,N26,MNIST_P61_N26,unsat,10.6143,4021.0,marabou,MNIST_P61_N26 N26 0.002,True,1,1
12463,,mnist,0.005,N17,MNIST_P59_N17,unsat,54.1101,3663.0,marabou,MNIST_P59_N17 N17 0.005,True,1,1
4831,,mnist,0.004,N17,MNIST_P71_N17,unsat,54.4781,431.0,marabou,MNIST_P71_N17 N17 0.004,True,1,1
4836,,mnist,0.004,N17,MNIST_P4_N17,unsat,53.8752,436.0,marabou,MNIST_P4_N17 N17 0.004,True,1,1
4842,,mnist,0.004,N17,MNIST_P55_N17,unsat,55.6008,442.0,marabou,MNIST_P55_N17 N17 0.004,True,1,1
4014,,mnist,0.002,N26,MNIST_P48_N26,unsat,10.7493,4014.0,marabou,MNIST_P48_N26 N26 0.002,True,1,1
9507,,mnist,0.005,N17,MNIST_P67_N17,unsat,54.8876,707.0,marabou,MNIST_P67_N17 N17 0.005,True,1,1
5934,,mnist,0.006,N17,MNIST_P70_N17,unsat,56.3064,1534.0,marabou,MNIST_P70_N17 N17 0.006,True,1,1
4863,,mnist,0.004,N17,MNIST_P74_N17,unsat,56.6722,463.0,marabou,MNIST_P74_N17 N17 0.004,True,1,1
9515,,mnist,0.005,N17,MNIST_P40_N17,unsat,55.96,715.0,marabou,MNIST_P40_N17 N17 0.005,True,1,1
3988,,mnist,0.002,N26,MNIST_P91_N26,unsat,10.5209,3988.0,marabou,MNIST_P91_N26 N26 0.002,True,1,1
4911,,mnist,0.004,N17,MNIST_P41_N17,unsat,54.5286,511.0,marabou,MNIST_P41_N17 N17 0.004,True,1,1
4915,,mnist,0.004,N26,MNIST_P53_N26,unsat,10.3258,515.0,marabou,MNIST_P53_N26 N26 0.004,True,1,1
6062,,mnist,0.006,N17,MNIST_P45_N17,unsat,54.7762,1662.0,marabou,MNIST_P45_N17 N17 0.006,True,1,1
4813,,mnist,0.004,N17,MNIST_P53_N17,unsat,54.2126,413.0,marabou,MNIST_P53_N17 N17 0.004,True,1,1
4050,,mnist,0.002,N3,MNIST_P97_N3,unsat,47.1464,4050.0,marabou,MNIST_P97_N3 N3 0.002,True,1,1
6071,,mnist,0.006,N17,MNIST_P81_N17,unsat,54.3934,1671.0,marabou,MNIST_P81_N17 N17 0.006,True,1,1
5734,,mnist,0.006,N17,MNIST_P14_N17,unsat,56.0313,1334.0,marabou,MNIST_P14_N17 N17 0.006,True,1,1
9264,,mnist,0.005,N17,MNIST_P13_N17,unsat,54.6665,464.0,marabou,MNIST_P13_N17 N17 0.005,True,1,1
12534,,mnist,0.005,N17,MNIST_P99_N17,unsat,54.7197,3734.0,marabou,MNIST_P99_N17 N17 0.005,True,1,1
4639,,mnist,0.004,N17,MNIST_P67_N17,unsat,55.1297,239.0,marabou,MNIST_P67_N17 N17 0.004,True,1,1
5583,,mnist,0.006,N17,MNIST_P77_N17,unsat,54.3348,1183.0,marabou,MNIST_P77_N17 N17 0.006,True,1,1
5600,,mnist,0.006,N17,MNIST_P46_N17,unsat,54.2907,1200.0,marabou,MNIST_P46_N17 N17 0.006,True,1,1
4119,,mnist,0.002,N17,MNIST_P77_N17,unsat,54.0408,4119.0,marabou,MNIST_P77_N17 N17 0.002,True,1,1
5620,,mnist,0.006,N17,MNIST_P28_N17,unsat,54.5238,1220.0,marabou,MNIST_P28_N17 N17 0.006,True,1,1
5633,,mnist,0.006,N17,MNIST_P10_N17,unsat,55.4734,1233.0,marabou,MNIST_P10_N17 N17 0.006,True,1,1
4673,,mnist,0.004,N17,MNIST_P49_N17,unsat,61.4604,273.0,marabou,MNIST_P49_N17 N17 0.004,True,1,1
4109,,mnist,0.002,N17,MNIST_P11_N17,unsat,53.2616,4109.0,marabou,MNIST_P11_N17 N17 0.002,True,1,1
5682,,mnist,0.006,N17,MNIST_P93_N17,unsat,55.5969,1282.0,marabou,MNIST_P93_N17 N17 0.006,True,1,1
4084,,mnist,0.002,N17,MNIST_P95_N17,unsat,52.4401,4084.0,marabou,MNIST_P95_N17 N17 0.002,True,1,1
4056,,mnist,0.002,N26,MNIST_P43_N26,unsat,10.5895,4056.0,marabou,MNIST_P43_N26 N26 0.002,True,1,1
4053,,mnist,0.002,N17,MNIST_P19_N17,unsat,55.0601,4053.0,marabou,MNIST_P19_N17 N17 0.002,True,1,1
4729,,mnist,0.004,N17,MNIST_P47_N17,unsat,61.2239,329.0,marabou,MNIST_P47_N17 N17 0.004,True,1,1
3982,,mnist,0.002,N17,MNIST_P80_N17,unsat,53.2498,3982.0,marabou,MNIST_P80_N17 N17 0.002,True,1,1
9580,,mnist,0.005,N17,MNIST_P86_N17,unsat,54.4172,780.0,marabou,MNIST_P86_N17 N17 0.005,True,1,1
5302,,mnist,0.004,N17,MNIST_P38_N17,unsat,54.595,902.0,marabou,MNIST_P38_N17 N17 0.004,True,1,1
9693,,mnist,0.005,N17,MNIST_P35_N17,unsat,54.2382,893.0,marabou,MNIST_P35_N17 N17 0.005,True,1,1
6293,,mnist,0.006,N26,MNIST_P0_N26,unsat,10.5909,1893.0,marabou,MNIST_P0_N26 N26 0.006,True,1,1
3833,,mnist,0.002,N17,MNIST_P24_N17,unsat,54.0762,3833.0,marabou,MNIST_P24_N17 N17 0.002,True,1,1
5172,,mnist,0.004,N17,MNIST_P40_N17,unsat,54.0353,772.0,marabou,MNIST_P40_N17 N17 0.004,True,1,1
4442,,mnist,0.006,N17,MNIST_P55_N17,unsat,58.7693,42.0,marabou,MNIST_P55_N17 N17 0.006,True,1,1
3831,,mnist,0.002,N17,MNIST_P26_N17,unsat,53.2207,3831.0,marabou,MNIST_P26_N17 N17 0.002,True,1,1
5186,,mnist,0.004,N17,MNIST_P33_N17,unsat,53.7962,786.0,marabou,MNIST_P33_N17 N17 0.004,True,1,1
5190,,mnist,0.004,N26,MNIST_P32_N26,unsat,10.6078,790.0,marabou,MNIST_P32_N26 N26 0.004,True,1,1
6377,,mnist,0.006,N17,MNIST_P4_N17,unsat,55.4386,1977.0,marabou,MNIST_P4_N17 N17 0.006,True,1,1
9728,,mnist,0.005,N17,MNIST_P48_N17,unsat,54.4133,928.0,marabou,MNIST_P48_N17 N17 0.005,True,1,1
12410,,mnist,0.005,N17,MNIST_P17_N17,unsat,54.2902,3610.0,marabou,MNIST_P17_N17 N17 0.005,True,1,1
6405,,mnist,0.006,N17,MNIST_P74_N17,unsat,55.1776,2005.0,marabou,MNIST_P74_N17 N17 0.006,True,1,1
12404,,mnist,0.005,N17,MNIST_P6_N17,unsat,54.2761,3604.0,marabou,MNIST_P6_N17 N17 0.005,True,1,1
3794,,mnist,0.002,N17,MNIST_P57_N17,unsat,53.7785,3794.0,marabou,MNIST_P57_N17 N17 0.002,True,1,1
9758,,mnist,0.005,N17,MNIST_P55_N17,unsat,54.0889,958.0,marabou,MNIST_P55_N17 N17 0.005,True,1,1
6429,,mnist,0.006,N26,MNIST_P68_N26,unsat,10.6584,2029.0,marabou,MNIST_P68_N26 N26 0.006,True,1,1
5125,,mnist,0.004,N17,MNIST_P9_N17,unsat,54.829,725.0,marabou,MNIST_P9_N17 N17 0.004,True,1,1
6269,,mnist,0.006,N17,MNIST_P91_N17,unsat,54.0429,1869.0,marabou,MNIST_P91_N17 N17 0.006,True,1,1
3957,,mnist,0.002,N3,MNIST_P1_N3,unsat,47.0005,3957.0,marabou,MNIST_P1_N3 N3 0.002,True,1,1
6258,,mnist,0.006,N26,MNIST_P41_N26,unsat,10.3506,1858.0,marabou,MNIST_P41_N26 N26 0.006,True,1,1
4988,,mnist,0.004,N17,MNIST_P32_N17,unsat,54.5349,588.0,marabou,MNIST_P32_N17 N17 0.004,True,1,1
2996,,mnist,0.01,N17,MNIST_P17_N17,unsat,54.0194,2996.0,marabou,MNIST_P17_N17 N17 0.01,True,1,1
3944,,mnist,0.002,N3,MNIST_P32_N3,unsat,45.6564,3944.0,marabou,MNIST_P32_N3 N3 0.002,True,1,1
4992,,mnist,0.004,N17,MNIST_P64_N17,unsat,54.9506,592.0,marabou,MNIST_P64_N17 N17 0.004,True,1,1
3928,,mnist,0.002,N26,MNIST_P64_N26,unsat,10.658,3928.0,marabou,MNIST_P64_N26 N26 0.002,True,1,1
3920,,mnist,0.002,N17,MNIST_P49_N17,unsat,53.192,3920.0,marabou,MNIST_P49_N17 N17 0.002,True,1,1
9603,,mnist,0.005,N17,MNIST_P15_N17,unsat,55.2352,803.0,marabou,MNIST_P15_N17 N17 0.005,True,1,1
3900,,mnist,0.002,N26,MNIST_P42_N26,unsat,10.6844,3900.0,marabou,MNIST_P42_N26 N26 0.002,True,1,1
5056,,mnist,0.004,N17,MNIST_P69_N17,unsat,54.9711,656.0,marabou,MNIST_P69_N17 N17 0.004,True,1,1
9652,,mnist,0.005,N17,MNIST_P64_N17,unsat,54.4164,852.0,marabou,MNIST_P64_N17 N17 0.005,True,1,1
9660,,mnist,0.005,N17,MNIST_P75_N17,unsat,55.675,860.0,marabou,MNIST_P75_N17 N17 0.005,True,1,1
3856,,mnist,0.002,N17,MNIST_P46_N17,unsat,56.6796,3856.0,marabou,MNIST_P46_N17 N17 0.002,True,1,1
6223,,mnist,0.006,N17,MNIST_P96_N17,unsat,54.5579,1823.0,marabou,MNIST_P96_N17 N17 0.006,True,1,1
3855,,mnist,0.002,N17,MNIST_P69_N17,unsat,54.8223,3855.0,marabou,MNIST_P69_N17 N17 0.002,True,1,1
3854,,mnist,0.002,N17,MNIST_P47_N17,unsat,54.1558,3854.0,marabou,MNIST_P47_N17 N17 0.002,True,1,1
5528,,mnist,0.006,N17,MNIST_P39_N17,unsat,56.9753,1128.0,marabou,MNIST_P39_N17 N17 0.006,True,1,1
4153,,mnist,0.002,N26,MNIST_P50_N26,unsat,10.6003,4153.0,marabou,MNIST_P50_N26 N26 0.002,True,1,1
4167,,mnist,0.002,N26,MNIST_P68_N26,unsat,10.6091,4167.0,marabou,MNIST_P68_N26 N26 0.002,True,1,1
4807,,mnist,0.006,N17,MNIST_P19_N17,unsat,54.4754,407.0,marabou,MNIST_P19_N17 N17 0.006,True,1,1
12777,,mnist,0.005,N17,MNIST_P58_N17,unsat,54.8109,3977.0,marabou,MNIST_P58_N17 N17 0.005,True,1,1
12772,,mnist,0.005,N17,MNIST_P80_N17,unsat,56.749,3972.0,marabou,MNIST_P80_N17 N17 0.005,True,1,1
4851,,mnist,0.006,N17,MNIST_P89_N17,unsat,54.1514,451.0,marabou,MNIST_P89_N17 N17 0.006,True,1,1
8842,,mnist,0.005,N17,MNIST_P85_N17,unsat,74.1887,42.0,marabou,MNIST_P85_N17 N17 0.005,True,1,1
4927,,mnist,0.006,N17,MNIST_P2_N17,unsat,55.7786,527.0,marabou,MNIST_P2_N17 N17 0.006,True,1,1
8907,,mnist,0.005,N26,MNIST_P32_N26,unsat,12.0791,107.0,marabou,MNIST_P32_N26 N26 0.005,True,1,1
12699,,mnist,0.005,N17,MNIST_P34_N17,unsat,54.0331,3899.0,marabou,MNIST_P34_N17 N17 0.005,True,1,1
12691,,mnist,0.005,N17,MNIST_P69_N17,unsat,54.2819,3891.0,marabou,MNIST_P69_N17 N17 0.005,True,1,1
5008,,mnist,0.006,N17,MNIST_P36_N17,unsat,55.1626,608.0,marabou,MNIST_P36_N17 N17 0.006,True,1,1
25374,,mnist,0.012,N17,MNIST_P32_N17,unsat,57.0058,3374.0,marabou,MNIST_P32_N17 N17 0.012,True,1,1
12686,,mnist,0.005,N17,MNIST_P38_N17,unsat,54.2454,3886.0,marabou,MNIST_P38_N17 N17 0.005,True,1,1
4381,,mnist,0.002,N17,MNIST_P84_N17,unsat,54.7592,4381.0,marabou,MNIST_P84_N17 N17 0.002,True,1,1
8947,,mnist,0.005,N17,MNIST_P70_N17,unsat,54.9473,147.0,marabou,MNIST_P70_N17 N17 0.005,True,1,1
12662,,mnist,0.005,N26,MNIST_P68_N26,unsat,12.4708,3862.0,marabou,MNIST_P68_N26 N26 0.005,True,1,1
4378,,mnist,0.002,N3,MNIST_P68_N3,unsat,45.6778,4378.0,marabou,MNIST_P68_N3 N3 0.002,True,1,1
12782,,mnist,0.005,N17,MNIST_P74_N17,unsat,54.0283,3982.0,marabou,MNIST_P74_N17 N17 0.005,True,1,1
12794,,mnist,0.005,N17,MNIST_P71_N17,unsat,54.977,3994.0,marabou,MNIST_P71_N17 N17 0.005,True,1,1
5487,,mnist,0.006,N26,MNIST_P13_N26,unsat,10.773,1087.0,marabou,MNIST_P13_N26 N26 0.006,True,1,1
4790,,mnist,0.006,N17,MNIST_P83_N17,unsat,55.1149,390.0,marabou,MNIST_P83_N17 N17 0.006,True,1,1
13115,,mnist,0.005,N17,MNIST_P39_N17,unsat,54.7168,4315.0,marabou,MNIST_P39_N17 N17 0.005,True,1,1
25080,,mnist,0.012,N17,MNIST_P88_N17,unsat,55.0982,3080.0,marabou,MNIST_P88_N17 N17 0.012,True,1,1
4481,,mnist,0.006,N17,MNIST_P80_N17,unsat,58.3815,81.0,marabou,MNIST_P80_N17 N17 0.006,True,1,1
4510,,mnist,0.006,N17,MNIST_P23_N17,unsat,57.0063,110.0,marabou,MNIST_P23_N17 N17 0.006,True,1,1
4531,,mnist,0.006,N17,MNIST_P51_N17,unsat,54.5082,131.0,marabou,MNIST_P51_N17 N17 0.006,True,1,1
4338,,mnist,0.01,N17,MNIST_P70_N17,unsat,54.8055,4338.0,marabou,MNIST_P70_N17 N17 0.01,True,1,1
13048,,mnist,0.005,N17,MNIST_P81_N17,unsat,54.2772,4248.0,marabou,MNIST_P81_N17 N17 0.005,True,1,1
13041,,mnist,0.005,N17,MNIST_P93_N17,unsat,54.1062,4241.0,marabou,MNIST_P93_N17 N17 0.005,True,1,1
4594,,mnist,0.006,N17,MNIST_P50_N17,unsat,55.102,194.0,marabou,MNIST_P50_N17 N17 0.006,True,1,1
4602,,mnist,0.006,N17,MNIST_P27_N17,unsat,54.0705,202.0,marabou,MNIST_P27_N17 N17 0.006,True,1,1
12974,,mnist,0.005,N17,MNIST_P76_N17,unsat,54.045,4174.0,marabou,MNIST_P76_N17 N17 0.005,True,1,1
4662,,mnist,0.006,N17,MNIST_P69_N17,unsat,54.8782,262.0,marabou,MNIST_P69_N17 N17 0.006,True,1,1
4727,,mnist,0.006,N17,MNIST_P52_N17,unsat,54.2015,327.0,marabou,MNIST_P52_N17 N17 0.006,True,1,1
4752,,mnist,0.006,N17,MNIST_P64_N17,unsat,54.0389,352.0,marabou,MNIST_P64_N17 N17 0.006,True,1,1
12853,,mnist,0.005,N17,MNIST_P94_N17,unsat,54.5794,4053.0,marabou,MNIST_P94_N17 N17 0.005,True,1,1
9005,,mnist,0.005,N17,MNIST_P44_N17,unsat,56.5308,205.0,marabou,MNIST_P44_N17 N17 0.005,True,1,1
9008,,mnist,0.005,N17,MNIST_P5_N17,unsat,56.1101,208.0,marabou,MNIST_P5_N17 N17 0.005,True,1,1
4352,,mnist,0.002,N17,MNIST_P10_N17,unsat,53.9023,4352.0,marabou,MNIST_P10_N17 N17 0.002,True,1,1
5150,,mnist,0.006,N17,MNIST_P67_N17,unsat,54.8728,750.0,marabou,MNIST_P67_N17 N17 0.006,True,1,1
4423,,mnist,0.004,N17,MNIST_P59_N17,unsat,108.2918,23.0,marabou,MNIST_P59_N17 N17 0.004,True,1,1
4424,,mnist,0.004,N17,MNIST_P25_N17,unsat,102.1737,24.0,marabou,MNIST_P25_N17 N17 0.004,True,1,1
